Sequential ID,Traceability ID,Category,Scope,Rule description,HMRC reference,Publication title,Version,Page/paragraph identifier,URL,Last updated,Error code,Acceptance criteria,Verification procedure
11,TDR-R-00011,Field-level requirement,Import declaration,Import FSD: DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is FSD.
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for FSD.
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
12,TDR-R-00012,Field-level requirement,Import declaration,Import SRDS: DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is SRDS.
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for SRDS.
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
13,TDR-R-00013,Field-level requirement,Import declaration,Import H1: DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H1.
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for H1.
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
14,TDR-R-00014,Field-level requirement,Import declaration,Import H2: DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H2.
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for H2.
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
15,TDR-R-00015,Field-level requirement,Import declaration,Import H3: DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H3.
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for H3.
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
16,TDR-R-00016,Field-level requirement,Import declaration,Import H4: DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H4.
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for H4.
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
17,TDR-R-00017,Field-level requirement,Import declaration,Import H5: DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H5.
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for H5.
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
18,TDR-R-00018,Field-level requirement,Import declaration,Import H8: DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H8.
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for H8.
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
19,TDR-R-00019,Field-level requirement,Import declaration,Import I1: DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is I1.
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for I1.
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
20,TDR-R-00020,Field-level requirement,Import declaration,Import I1 (B&E): DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is I1 (B&E).
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for I1 (B&E).
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
21,TDR-R-00021,Field-level requirement,Import declaration,Import C21I: DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is C21I.
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for C21I.
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
22,TDR-R-00022,Field-level requirement,Import declaration,Import C21I EIDR: DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is C21I EIDR.
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for C21I EIDR.
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
23,TDR-R-00023,Field-level requirement,Import declaration,Import FSD: DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is FSD.
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for FSD.
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
24,TDR-R-00024,Field-level requirement,Import declaration,Import SRDS: DE 1/2 Additional Declaration Type at H level is mandatory; cardinality 1x; format a1.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!7,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 7,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is SRDS.
- 1/2 Additional Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a1.
- Value is drawn from HMRC codelist DeclarationTypes for this item.","1. Create a representative import declaration payload for SRDS.
2. Populate or omit 1/2 Additional Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
25,TDR-R-00025,Field-level requirement,Import declaration,Import H1: DE 1/6 Goods Item Number at I level is mandatory; cardinality 1x; format n..2 Cannot be 0.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!8,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 8,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is H1.
- 1/6 Goods Item Number at I level is mandatory.
- Populate XML path Declaration/ GoodsShipment/ GovernmentAgencyGoodsItem/ SequenceNumeric only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format n..2 Cannot be 0.","1. Create a representative import declaration payload for H1.
2. Populate or omit 1/6 Goods Item Number according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
26,TDR-R-00026,Field-level requirement,Import declaration,Import H2: DE 1/6 Goods Item Number at I level is mandatory; cardinality 1x; format n..2 Cannot be 0.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!8,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 8,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is H2.
- 1/6 Goods Item Number at I level is mandatory.
- Populate XML path Declaration/ GoodsShipment/ GovernmentAgencyGoodsItem/ SequenceNumeric only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format n..2 Cannot be 0.","1. Create a representative import declaration payload for H2.
2. Populate or omit 1/6 Goods Item Number according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
27,TDR-R-00027,Field-level requirement,Import declaration,Import H3: DE 1/6 Goods Item Number at I level is mandatory; cardinality 1x; format n..2 Cannot be 0.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!8,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 8,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is H3.
- 1/6 Goods Item Number at I level is mandatory.
- Populate XML path Declaration/ GoodsShipment/ GovernmentAgencyGoodsItem/ SequenceNumeric only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format n..2 Cannot be 0.","1. Create a representative import declaration payload for H3.
2. Populate or omit 1/6 Goods Item Number according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
